street,street_type,street_name,municipality,province,country,latitude,longitude,geo_source
C/ IFAC,C/,IFAC,Valencia,Valencia,Spain,38.5839725,-0.1025397,nominatim
C/ ENGINYER MANUEL CÃNOVAS,C/,ENGINYER MANUEL CÃNOVAS,Valencia,Valencia,Spain,39.4453217,-0.3895395,nominatim
PG GOLES,PG,GOLES,Valencia,Valencia,Spain,39.2803265,-0.2764301,nominatim
PL POBLE,PL,POBLE,Valencia,Valencia,Spain,39.3628176,-0.4119998,nominatim
C/ ELIES TORMO,C/,ELIES TORMO,Valencia,Valencia,Spain,39.4996921,-0.419029,nominatim
C/ CRONISTA TORRES,C/,CRONISTA TORRES,Valencia,Valencia,Spain,39.8445181,-0.4837063,nominatim
C/ CLARIANO,C/,CLARIANO,Valencia,Valencia,Spain,39.5800313,-0.5097819,nominatim
ENTD CASA DEL VINYERO,ENTD,CASA DEL VINYERO,Valencia,Valencia,Spain,39.4272955,-0.3704896,nominatim
CAMI CASES DE GUERRA,CAMI,CASES DE GUERRA,Valencia,Valencia,Spain,39.5109228,-0.3825485,nominatim
C/ CARABASSES,C/,CARABASSES,Valencia,Valencia,Spain,39.4728391,-0.3779412,nominatim
C/ CALA-XARXES,C/,CALA-XARXES,Valencia,Valencia,Spain,39.4822882,-0.3851173,nominatim
C/ JAUME ROIG,C/,JAUME ROIG,Valencia,Valencia,Spain,39.4645162,-0.4378221,nominatim
AV DOCTOR WAKSMAN,AV,DOCTOR WAKSMAN,Valencia,Valencia,Spain,39.4566075,-0.3740595,nominatim
C/ ANDILLA,C/,ANDILLA,Valencia,Valencia,Spain,39.6391837,-0.5015659,nominatim
ENTD ALQUERIA D'ALBA,ENTD,ALQUERIA D'ALBA,Valencia,Valencia,Spain,39.4369708,-0.4017833,nominatim
C/ JOAN JOSEP SISTER,C/,JOAN JOSEP SISTER,Valencia,Valencia,Spain,39.4592225,-0.33422,nominatim
C/ DOCTOR CALATAYUD BAYÃ,C/,DOCTOR CALATAYUD BAYÃ,Valencia,Valencia,Spain,38.7606102,-0.0812239,nominatim
ENTD SABATER,ENTD,SABATER,Valencia,Valencia,Spain,39.4427295,-0.3492556,nominatim
C/ MUELA,C/,MUELA,Valencia,Valencia,Spain,38.7908906,0.1271353,nominatim
C/ LLAVADOR,C/,LLAVADOR,Valencia,Valencia,Spain,38.2490967,-0.8104003,nominatim
C/ LUGRE,C/,LUGRE,Valencia,Valencia,Spain,39.489483,-0.3838645,nominatim
C/ GREGORI GEA,C/,GREGORI GEA,Valencia,Valencia,Spain,39.482068,-0.3891309,nominatim
C/ GUILLEM DEL REI,C/,GUILLEM DEL REI,Valencia,Valencia,Spain,39.4750468,-0.3766949,nominatim
C/ CORTES DE PALLAS,C/,CORTES DE PALLAS,Valencia,Valencia,Spain,39.062141,-1.0556539,nominatim
C/ CAMPILLO DE ALTOBUEY,C/,CAMPILLO DE ALTOBUEY,Valencia,Valencia,Spain,39.4768026,-0.335542,nominatim
CV PUNTA,CV,PUNTA,Valencia,Valencia,Spain,39.1818357,-0.2266619,nominatim
C/ SENYERA,C/,SENYERA,Valencia,Valencia,Spain,39.4692098,-0.6082718,nominatim
C/ IESSA,C/,IESSA,Valencia,Valencia,Spain,39.8914016,-0.9615624,nominatim
C/ LANDERER,C/,LANDERER,Valencia,Valencia,Spain,39.4771475,-0.3785002,nominatim
C/ LEPANT,C/,LEPANT,Valencia,Valencia,Spain,38.8359597,0.107803,nominatim
AV PINARS,AV,PINARS,Valencia,Valencia,Spain,39.3554095,-0.3233965,nominatim
C/ MAS I BOHER,C/,MAS I BOHER,Valencia,Valencia,Spain,39.4558278,-0.3726587,nominatim
C/ ORIENT,C/,ORIENT,Valencia,Valencia,Spain,38.1456042,-0.6474092,nominatim
CAMI PALMAR,CAMI,PALMAR,Valencia,Valencia,Spain,39.5538661,-0.4291587,nominatim
C/ PERIODISTA GIL SUMBIELA,C/,PERIODISTA GIL SUMBIELA,Valencia,Valencia,Spain,39.4922726,-0.3882653,nominatim
C/ PINTOR CORTINA,C/,PINTOR CORTINA,Valencia,Valencia,Spain,39.4544884,-0.393088,nominatim
C/ REINA NA GERMANA,C/,REINA NA GERMANA,Valencia,Valencia,Spain,39.4640739,-0.3654719,nominatim
C/ RELLOTGE VELL,C/,RELLOTGE VELL,Valencia,Valencia,Spain,39.4759346,-0.3762891,nominatim
C/ RETOR,C/,RETOR,Valencia,Valencia,Spain,39.9526138,-0.3323888,nominatim
C/ RIU PISUERGA,C/,RIU PISUERGA,Valencia,Valencia,Spain,38.6898931,0.1116475,nominatim
C/ ROCA,C/,ROCA,Valencia,Valencia,Spain,39.4579627,-0.3880722,nominatim
C/ ROTGLÃ I CORBERÃ,C/,ROTGLÃ I CORBERÃ,Valencia,Valencia,Spain,39.0039511,-0.5647874,nominatim
C/ SAGRARI DEL SALVADOR,C/,SAGRARI DEL SALVADOR,Valencia,Valencia,Spain,39.4775589,-0.3737341,nominatim
C/ SANT ERNEST,C/,SANT ERNEST,Valencia,Valencia,Spain,39.4521785,-0.3858575,nominatim
C/ SANT JOSEP,C/,SANT JOSEP,Valencia,Valencia,Spain,38.2620928,-0.7010395,nominatim
